,firstname,lastname,gender,birthmonth,birthday,birthyear,course,phonenumber,carrier
0,name1,lastname1,Female,November,26,1998,BS Legal Management,+63 918 302 6210,Smart
1,name2,lastname2,Female,May,26,2001,BS Management,+63 927 212 6276,Globe
2,name3,lastname3,Female,May,16,1997,BS Communications Technology Management,+63 918 253 7017,Smart
3,name4,lastname4,Male,December,9,1997,BS IT Entrepreneurship,+63 918 714 4360,Smart
4,name5,lastname5,Female,September,5,1997,BS Communications Technology Management,+63 927 462 1674,Globe
5,name6,lastname6,Female,March,2,1999,BS Management,+63 918 629 5268,Smart
6,name7,lastname7,Female,November,10,1998,BS Legal Management,+63 917 369 7388,Globe
7,name8,lastname8,Male,August,28,1999,BS Management Engineering,+63 917 240 6000,Globe
8,name9,lastname9,Male,July,10,1997,BS Management Engineering,+63 918 226 5748,Smart
9,name10,lastname10,Female,September,14,2001,BS Communications Technology Management,+63 918 342 1717,Smart
10,name11,lastname11,Male,December,8,1998,BS Legal Management,+63 927 708 1308,Globe
11,name12,lastname12,Male,May,4,1997,BS Management Engineering,+63 927 747 5497,Globe
12,name13,lastname13,Female,January,28,1999,BS Communications Technology Management,+63 917 959 4490,Globe
13,name14,lastname14,Female,January,11,1999,BS Management,+63 927 543 4192,Globe
14,name15,lastname15,Male,June,6,1998,BS IT Entrepreneurship,+63 917 211 9497,Globe
15,name16,lastname16,Male,April,20,1999,BS Legal Management,+63 918 185 5162,Smart
16,name17,lastname17,Female,January,3,1997,BS IT Entrepreneurship,+63 927 146 8146,Globe
17,name18,lastname18,Female,April,8,1997,BS Management,+63 927 516 4280,Globe
18,name19,lastname19,Male,December,28,1997,BS IT Entrepreneurship,+63 927 958 6909,Globe
19,name20,lastname20,Male,March,10,1997,BS Management Engineering,+63 917 514 9105,Globe
20,name21,lastname21,Female,July,13,1999,BS Legal Management,+63 927 984 7499,Globe
21,name22,lastname22,Male,September,15,1999,BS IT Entrepreneurship,+63 927 699 3694,Globe
22,name23,lastname23,Male,April,15,1997,BS Management,+63 917 317 2478,Globe
23,name24,lastname24,Male,October,1,1997,BS Management Engineering,+63 917 159 3829,Globe
24,name25,lastname25,Male,May,6,1997,BS Management Engineering,+63 918 898 6972,Smart
25,name26,lastname26,Male,December,5,1999,BS Management Engineering,+63 917 796 4622,Globe
26,name27,lastname27,Female,March,4,1997,BS Communications Technology Management,+63 927 138 7580,Globe
27,name28,lastname28,Male,November,10,2000,BS Legal Management,+63 917 195 9244,Globe
28,name29,lastname29,Female,October,10,1999,BS Legal Management,+63 917 643 3996,Globe
29,name30,lastname30,Male,May,28,1999,BS Communications Technology Management,+63 917 758 3119,Globe
30,name31,lastname31,Male,April,6,1999,BS IT Entrepreneurship,+63 918 669 4265,Smart
31,name32,lastname32,Female,July,16,1999,BS Management,+63 917 750 8539,Globe
32,name33,lastname33,Male,December,17,1999,BS IT Entrepreneurship,+63 927 236 9504,Globe
33,name34,lastname34,Female,October,4,1999,BS Legal Management,+63 917 438 4447,Globe
34,name35,lastname35,Male,July,14,2001,BS IT Entrepreneurship,+63 917 773 6035,Globe
35,name36,lastname36,Male,December,11,1998,BS Management,+63 918 455 4185,Smart
36,name37,lastname37,Female,February,2,2000,BS Management,+63 927 889 9252,Globe
37,name38,lastname38,Female,August,25,2001,BS Legal Management,+63 927 874 8083,Globe
38,name39,lastname39,Male,May,3,1997,BS Management Engineering,+63 927 842 3053,Globe
39,name40,lastname40,Male,February,27,1998,BS Legal Management,+63 927 923 1234,Globe
40,name41,lastname41,Male,November,16,1999,BS Management,+63 918 381 4956,Smart
41,name42,lastname42,Female,September,24,1998,BS Legal Management,+63 918 602 9278,Smart
